year,Area,MB,MBs
1946,,-540,-0.54
1947,,-1880,-1.88
1948,,-290,-0.29
1949,,590,0.59
1950,,-750,-0.75
1951,,-770,-0.77
1952,,40,0.04
1953,,-520,-0.52
1954,,-930,-0.93
1955,,-360,-0.36
1956,,-300,-0.3
1957,,-340,-0.34
1958,,-380,-0.38
1959,,-770,-0.77
1960,,-1610,-1.61
1961,,-790,-0.79
1962,,430,0.43
1963,,-200,-0.2
1964,,430,0.43
1965,,500,0.5
1966,,-550,-0.55
1967,,-180,-0.18
1968,,-240,-0.24
1969,,-900,-0.9
1970,,-1370,-1.37
1971,3.07,-190,-0.19
1972,3.07,-1050,-1.05
1973,3.07,50,0.05
1974,3.07,-340,-0.34
1975,3.07,1170,1.17
1976,3.1,270,0.27
1977,3.1,200,0.2
1978,3.1,-80,-0.08
1979,3.1,-210,-0.21
1980,3.1,-1270,-1.27
1981,3.03,-190,-0.19
1982,3.03,260,0.26
1983,3.03,280,0.28
1984,3.03,120,0.12
1985,3.03,-720,-0.72
1986,3.04,-60,-0.06
1987,3.03,480,0.48
1988,3.06,-840,-0.84
1989,2.99,1240,1.24
1990,3.03,590,0.59
1991,3.01,170,0.17
1992,3.01,880,0.88
1993,3.12,1000,1
1994,3.1,-370,-0.37
1995,3.1,700,0.7
1996,3.2124,-390,-0.39
1997,3.24,-630,-0.63
1998,3.24,-520,-0.52
1999,3.24,-180,-0.18
2000,3.128,580,0.58
2001,3.242,-700,-0.7
2002,3.212,-830,-0.83
2003,3.212,-1040,-1.04
2004,3.2112,-120,-0.12
2005,3.211,-70,-0.07
2006,3.2112,-1720,-1.72
2007,3.2112,410,0.41
2008,3.2112,580,0.58
2009,3.2112,-530,-0.53
2010,3.2112,-690,-0.69
2011,3.2112,-1060,-1.06
2012,2.9034,680,0.68
2013,2.9034,-1410,-1.41
2014,2.9034,-890,-0.89
2015,2.9033999,640,0.64
2016,2.9033999,-240,-0.24
2017,2.8891,470,0.47
2018,2.8891,-1600,-1.6
