"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",3436635.98484139,3443996.39448857,3448563.67735675,3425998.97195254,3409276.90808537,3456421.40599348,3433534.84941442,3450851.16221806,3399973.98634027,3422663.93060641,3431853.70186018,3463021.98368348,3455912.7026605,3450885.51229346,3442047.15665801,3451442.29084326,3452011.49754561,3467410.68384699,3442320.6367527,3483727.00722136,3430784.25142585,3452065.11713922,3480666.55523024,3457750.25543339,3449327.21579614
"2",3370711.74127214,3382933.10443734,3392469.05239869,3362813.29449372,3342496.78613745,3405711.56372179,3372886.77715355,3396458.06116598,3330629.11045099,3355162.20627127,3370848.52153615,3416877.17510271,3396001.43036144,3392336.33576986,3389219.27128236,3384322.8836587,3390304.93788832,3419914.78185206,3369347.23699339,3455516.58112251,3364964.3852034,3391425.01485078,3451108.74096937,3401470.54999038,3397890.99185581
"3",3369629.36966451,3398148.41181944,3409678.74294509,3371746.13596539,3335292.49974906,3430858.0869427,3381978.2755028,3416648.02479716,3318308.65151092,3359404.93175884,3381120.9475016,3445640.07913941,3409799.66058793,3416104.55758333,3414804.51450925,3390789.78397398,3399946.84518633,3446736.62762836,3355635.92010131,3496396.25142035,3371512.52114381,3405732.66080783,3492207.40233839,3419082.99675618,3425577.36800845
"4",3411252.76430678,3442985.05721653,3453212.44207767,3412236.32783233,3370349.14550124,3479739.52964312,3422782.87151164,3464091.894582,3349463.34108719,3397510.61729803,3421986.82279699,3497402.38719669,3455076.08553874,3465562.50946787,3462175.64863215,3434974.76128842,3441870.24351986,3496927.37498773,3393319.94961314,3556043.20054644,3413316.38291622,3451570.68045371,3552241.75584166,3463469.92646361,3474842.86491554
"5",3376574.88450994,3411553.71961834,3424445.62117378,3377554.40682491,3332589.80851922,3457448.09900989,3388418.31072469,3433999.90371365,3308025.65282717,3359790.58383846,3390177.70088263,3475202.02603597,3420458.49145729,3435397.6174177,3436327.72719309,3393183.33164898,3407233.34568127,3472734.66909574,3348604.91010327,3559021.92796519,3376275.30148255,3416010.08237008,3549692.84126688,3435387.1275968,3452703.95992109
"6",3436924.29497423,3474034.96052608,3483776.41786371,3434239.5566105,3384675.00731486,3520770.756529,3445604.66407677,3497163.24141075,3357233.9338247,3416236.70233728,3446926.69518317,3541164.5090348,3484019.35193301,3502272.27259095,3498244.31811276,3457098.13449326,3466456.85721785,3537887.58500604,3407020.94845315,3628330.52677784,3435755.45823128,3480573.28563158,3619858.40938572,3495684.51489506,3515623.56289021
"7",3405980.14705594,3443074.65636529,3455859.64736669,3398066.02029637,3345485.64219855,3493440.05265644,3410910.5342842,3467754.54478435,3316699.88458293,3376799.36775092,3413809.06707818,3516392.02778258,3456132.68931164,3473410.38831282,3466650.56875708,3427053.60654173,3438896.23238715,3513215.56032209,3376450.62560045,3618724.49190093,3400744.4801789,3450127.85564757,3607415.79449039,3469836.43458389,3487858.62963984
"8",3432398.30209149,3470583.87967199,3487654.24221841,3416181.75231365,3360785.56994271,3526310.89989002,3433639.62122671,3497400.70607615,3332262.92241161,3391469.04003815,3437275.36314498,3552349.91079758,3491107.60980419,3501046.36758409,3486738.13905476,3459441.16121362,3474270.62301233,3552316.34159166,3409474.27494192,3667739.96481849,3422644.51123927,3481022.40180386,3652306.26883582,3507694.61903642,3514072.26570322
"9",3463070.01874414,3502908.13043156,3520897.68939335,3446314.6244254,3387119.54372028,3563118.44788535,3463045.61942013,3530985.54906322,3354216.76575765,3419801.7530862,3468261.77292836,3589905.78034579,3523270.87734045,3538010.71127287,3525624.15650269,3489408.78943624,3505865.76632957,3587400.79605592,3436498.71865443,3713330.52808249,3451305.47237107,3511646.95960389,3697591.91461976,3541252.78010014,3554771.40799352
"10",3486351.26006042,3529324.59635661,3546513.51108016,3468751.79179439,3404983.91253046,3593456.42299295,3485781.89841075,3560400.48125819,3367046.26192301,3440646.03699794,3491120.95342984,3623613.34452962,3551394.03610933,3571682.69800824,3557144.7597076,3514842.34355332,3530564.00355154,3618921.81425683,3458247.83342872,3752591.51099758,3473614.88311746,3538434.87727842,3738381.92288373,3567594.56908313,3589659.75362189
"11",3512497.05885193,3557620.54855943,3574315.30586806,3489908.48657908,3419876.84925043,3624146.86068392,3507939.68153794,3589304.01515075,3379921.3885432,3464035.7328365,3514045.28724325,3655754.60309089,3581215.40190821,3604559.61167753,3587733.83456453,3543685.55596299,3559964.76215097,3652352.21297117,3485280.66206107,3792189.28895221,3497343.58495348,3567478.80849438,3777801.37837761,3596280.07520491,3621804.31357295
"12",3464068.28419878,3512979.53897998,3532466.27610855,3443048.39622844,3371241.59383212,3586905.65264613,3463309.27629873,3550749.87517166,3329585.08058845,3416240.41582368,3467327.5235409,3621927.26835017,3542571.4726703,3566003.94166249,3549683.88682547,3501474.09673595,3518730.49265321,3619341.91078373,3438524.97891692,3767398.98588947,3448680.81185601,3527893.42970881,3752938.31242953,3555379.18962819,3585545.01520852
"13",3353522.65107666,3403432.10520404,3432995.61643358,3333093.35287576,3263187.70943461,3486838.07951109,3358129.38638758,3447477.09415676,3223992.10813546,3303904.24320413,3361253.65030226,3523198.59792333,3434334.39592932,3449761.84601837,3440751.58161199,3384873.38899162,3413511.45901743,3525093.78506711,3324528.91367511,3686201.93343802,3336052.14513683,3419587.40221857,3665955.08754207,3453718.21529816,3477956.03668746
"14",3261233.16710622,3314803.77374202,3351279.22210385,3244123.68298845,3175849.2346816,3406917.70586963,3272784.1066961,3363402.75194448,3137503.00495559,3211787.57724994,3275078.48346882,3444662.09286767,3344227.19582904,3354611.98614659,3351021.08680826,3288066.65129251,3325782.69776715,3448776.74944872,3227635.34744319,3621159.10207514,3244511.74761959,3330306.24938319,3595517.4039042,3369117.39699609,3390177.48430291
"15",3248100.35995129,3317812.31436492,3354801.55323288,3237454.13063764,3163413.85699219,3417713.95479275,3267412.79760983,3369511.89126904,3122483.98142115,3202027.09602409,3269740.03381805,3457960.78099921,3333746.0115269,3344576.34383837,3352057.90400017,3271853.40381689,3314584.60393485,3462592.56159503,3209163.4747872,3644625.19503233,3238600.20616495,3322220.24992548,3617592.73530799,3366140.46722292,3396029.61660831
"16",3242114.6006149,3310741.07222016,3353964.0677357,3225990.15107323,3148546.02620525,3420537.28293019,3257307.99671362,3366654.25694767,3104777.77157549,3183394.8342961,3262142.16449184,3465929.78929986,3331576.78309257,3337664.03023932,3343225.83749366,3266212.66749546,3311145.55984637,3468384.33014001,3200762.08001976,3664921.85302143,3227439.0849399,3316750.46181378,3636336.08720217,3371895.7218856,3392848.40724812
"17",3173596.62821634,3241911.74515859,3290809.40335144,3151814.16928674,3075358.34230598,3356723.03074709,3188865.11045172,3301180.77034041,3035418.97624251,3111161.28662712,3190866.2996085,3404203.77437864,3269640.14109568,3264923.60561574,3267243.01504843,3200640.58009616,3250513.29258376,3414349.7284133,3137327.1758822,3612338.03349516,3155933.35204183,3253683.37664519,3578279.42397009,3311772.1108725,3317437.47171119
"18",3182210.48036297,3248553.4688948,3308293.1061245,3150647.88581091,3069135.8292658,3373836.19656773,3193211.48098351,3310814.93631092,3029796.08906064,3102486.18343834,3199413.26734054,3422003.91881058,3282555.6888745,3271123.85117865,3271868.71319014,3206609.20030686,3269782.5359424,3436154.51405925,3147062.93235544,3646530.85496551,3154040.66228847,3261593.51136413,3607771.73865055,3335358.65377035,3329395.75609486
"19",3198897.57944184,3266407.67701244,3327512.36822401,3166211.66504793,3078806.36504904,3397294.83030912,3206708.560732,3328417.43678976,3035253.57158937,3115793.66610561,3216623.36498139,3445063.39964496,3299039.4371811,3297415.81222068,3300484.57868956,3220518.11281159,3289121.19252457,3456710.96255182,3148115.98127122,3678079.48263044,3167830.48333615,3275854.14029875,3639257.55563397,3359100.24432992,3358909.18703139
"20",3141592.90228997,3210611.94661704,3273198.5786724,3111248.17400909,3021714.27428835,3346334.33877692,3150948.68055017,3275169.32308621,2976126.49330117,3056539.76130095,3162378.57210282,3396141.17547271,3240464.02355083,3241768.90751751,3248925.9775294,3159592.60517103,3231316.07671934,3404179.62460283,3084389.04087001,3635757.59305087,3110058.69904124,3217841.4100618,3596731.99322017,3303461.83603615,3310288.31130368
"21",3073259.73737376,3146038.58201142,3209356.05826438,3050465.52695453,2959597.91175904,3288059.27037824,3089229.32190086,3213973.38867191,2912192.84067369,2991133.40159593,3100887.57481513,3338453.46000588,3167645.80605058,3174278.17803856,3193017.46100644,3082331.61188877,3158940.82090933,3341221.90917323,3004769.07588999,3581093.55040621,3044222.58755288,3148879.90414541,3545344.31486268,3232483.86277786,3256602.29284819
"22",2989652.73488473,3064340.96224133,3131688.60784118,2968485.03089321,2879094.523608,3212462.16058874,3009698.25148652,3136287.31037305,2832500.11653275,2908467.46960351,3020962.27663068,3264260.5476423,3084093.86902381,3088385.34636278,3112613.51996021,2992190.51347877,3075759.95241807,3268308.69890745,2915183.78633152,3513818.85901382,2961128.37128214,3067726.14801103,3476851.95447673,3150298.62683217,3176940.66720509
