"","year","area","MB","temp","precip"
"1",1990,3439775.18103532,0.440564264337592,-4.80002729001917,2.1345205797726
"2",1991,3373977.83386357,-1.03808602297815,-5.16175330923836,1.85726030165479
"3",1992,3369531.12067641,-0.0271138366907336,-4.74153414050686,2.40575346050959
"4",1993,3409158.91711687,0.531753581974703,-5.79221298534426,2.50081970939618
"5",1994,3371069.90816471,-0.498012574729752,-6.19208205332054,1.72027399827671
"6",1995,3428655.1572149,0.883599660606746,-5.62210946326301,2.20246578627397
"7",1996,3397020.87091719,-0.384672489431522,-4.52082181684383,1.92164386421644
"8",1997,3425106.31837586,0.330245126550251,-4.65969934955464,2.41038254952459
"9",1998,3453267.65946217,0.328741456961115,-4.85832865857534,2.62438360071781
"10",1999,3474348.8375686,0.21992104573582,-5.26802727948767,2.41123291265205
"11",2000,3499983.26966081,0.285185087049495,-4.00936977337808,2.63452058714795
"12",2001,3452311.66211503,-0.658214364274729,-4.38434416431421,2.17786888492076
"13",2002,3346553.70794229,-1.97222173418728,-2.97416431704932,1.96684934439452
"14",2003,3256755.75197753,-1.62871304278969,-3.80019169582192,1.83260276700548
"15",2004,3243228.08580174,-0.127549254516428,-3.82054785986575,2.43178085819452
"16",2005,3235157.54324154,-0.0634468731149428,-3.74163926067486,2.47021861607377
"17",2006,3172578.26982949,-1.03097959012608,-2.7206300762274,1.84657536996712
"18",2007,3182401.37235087,0.0847316873496405,-3.69517799952877,2.78739730179452
"19",2008,3195396.50103198,0.12359094178752,-3.37542458194247,2.40931510439452
"20",2009,3136143.40037219,-0.969085991087465,-3.4978414517705,1.77103827775137
"21",2010,3065959.09857465,-1.24305534530303,-4.35764373810958,1.68356166888219
"22",2011,2984651.72400777,-1.55313911954868,-4.21575333038082,1.81534249280822
"23",2012,2994662.26322263,0.0924120277549112,-3.90076703605206,2.2558904445863
"24",2013,2918082.18866458,-1.46571528700852,-4.05926220431967,2.07295085060383
"25",2014,2834929.77172171,-1.68241182868924,-3.7495067653863,1.81917810933151
"26",2015,2797169.50363219,-0.591868721049842,-4.37651668480594,1.844939639439
"27",2016,2848811.40490663,0.91825698103168,-4.09914092653569,2.96979989771861
"28",2017,2877088.33925892,0.397451610167917,-4.2936233820391,2.48033351952246
"29",2018,2850328.70081761,-0.365106808077695,-4.46008830099174,2.09080462852234
"30",2019,2903834.41216405,0.945647432219177,-4.95995749345482,2.24489141779545
"31",2020,2857817.83828654,-0.756121476871453,-3.72670561877094,2.06325095737778
"32",2021,2895062.40630522,0.576250158251705,-5.43310413962213,2.4390471900985
"33",2022,2856769.8774026,-0.590713881288405,-3.60633505693138,2.19877115950838
"34",2023,2812281.94137222,-0.734064484320965,-3.93246157361322,2.11978483673147
"35",2024,2771676.70544306,-0.65858633282958,-3.68453346978346,2.17509566477827
"36",2025,2827579.46506459,1.0322066303109,-6.19206671873437,2.23470632265764
"37",2026,2863097.90919478,0.546012431181357,-5.31821354346017,2.09471658099022
"38",2027,2872708.92544262,0.0911444154061233,-5.67177736951165,1.92334754103282
"39",2028,2940646.37028634,1.29830551013215,-5.8223865682231,2.65547994240874
"40",2029,2901398.81618982,-0.601370791064619,-3.91286285564255,2.2805079447813
"41",2030,2862212.78447237,-0.608206586523784,-4.67808238476208,1.72273123721338
"42",2031,2858525.88986601,-0.024771748728058,-4.72444113603294,2.33405293857523
"43",2032,2827835.59731517,-0.442771102121013,-3.48133741580691,2.2942066226513
"44",2033,2739393.6139941,-1.88799728869063,-3.2693112949436,1.94420987814153
"45",2034,2650671.32032141,-1.9573573259633,-2.71368895716147,2.17138536982414
"46",2035,2666938.46818489,0.201385243423621,-4.15322009010775,2.40271393977171
"47",2036,2591610.53764371,-1.60933780614113,-4.85153420891249,1.50525417719445
"48",2037,2579825.10158344,-0.132880225070476,-4.44086907055569,2.34611515990429
"49",2038,2542212.41519884,-0.646940672661562,-3.09577054026293,1.94230420376524
"50",2039,2585984.71029495,0.806899112360035,-4.20926344847944,2.67058713636657
"51",2040,2564231.16867781,-0.306488942377805,-3.65084369840372,1.99925690248073
"52",2041,2533171.6415417,-0.501681177360998,-4.72370406684688,2.12132175092778
"53",2042,2439143.25417666,-2.29069678284273,-2.24821332607467,1.61345245966151
"54",2043,2410664.59517162,-0.468715440690885,-3.72263671106772,2.22713115831544
"55",2044,2416661.25085833,0.0569927489182226,-2.24214248293218,2.39217504890421
"56",2045,2370177.84853539,-0.921105502945552,-5.04797897419351,1.76522476898246
"57",2046,2285317.9496566,-2.12938641261603,-2.67043890197901,2.02564738332934
"58",2047,2270836.24893859,-0.199419664722664,-3.2963419714621,2.22740427460656
"59",2048,2252127.79316541,-0.284305841087915,-3.17169864835489,2.3910981435049
"60",2049,2272164.70321803,0.314700032613537,-2.9090662104416,2.67466001305982
"61",2050,2231574.7232235,-0.814722686394856,-4.27749845389735,1.83028979606327
"62",2051,2208380.70114729,-0.387525260123078,-2.39607462911674,2.46722057590698
"63",2052,2185658.5929761,-0.380799337445747,-3.41994195930419,2.11846720141147
"64",2053,2152164.33707405,-0.652194796758145,-2.11534890427324,2.24839587453298
"65",2054,2118453.95144921,-0.668164241360124,-4.4588991605674,2.08498714277201
"66",2055,2052333.50129816,-1.69682737455701,-1.83756181340613,2.086991190588
"67",2056,1972953.24087195,-2.24574836384235,-2.39916661495859,1.97716042129886
"68",2057,1916423.00429741,-1.47226198857305,-2.38858733127385,2.38095165269837
