date,q,pr,pr_dist,temp
1890-01-01,49,0.1,25000,1.1
1890-01-02,50.6,0,25000,-2
1890-01-03,56.4,2.3,25000,-0.9
1890-01-04,50.6,2.8,25000,3.7
1890-01-05,55.9,3.4,25000,8.1
1890-01-06,88.5,3.6,25000,9.6
1890-01-07,117,0.1,25000,10.4
1890-01-08,107,1.6,25000,9
1890-01-09,90.6,4.5,25000,6.8
1890-01-10,84,0.2,25000,7.9
1890-01-11,90.6,0.7,25000,7.2
1890-01-12,92.7,0.1,25000,7.5
1890-01-13,79.6,0.3,25000,6.5
1890-01-14,69,0.4,25000,6
1890-01-15,65.1,0.2,25000,7.6
1890-01-16,61.4,0,25000,9.4
1890-01-17,57.5,2.4,25000,7.4
1890-01-18,54,5.9,25000,6.3
1890-01-19,61.1,2,25000,6.8
1890-01-20,86.1,0.3,25000,3.5
1890-01-21,95.3,3.5,25000,3
1890-01-22,79.6,5.6,25000,4.2
1890-01-23,97.7,1.8,25000,4.1
1890-01-24,121,2.5,25000,5
1890-01-25,129,4.1,25000,8.2
1890-01-26,90.6,5.5,25000,6.6
1890-01-27,121,7,25000,5.8
1890-01-28,123,6.7,25000,1.9
1890-01-29,173,0.4,25000,3.6
1890-01-30,205,0.6,25000,4.8
1890-01-31,183,0.1,25000,7.1
1890-02-01,160,0.2,25000,7.5
1890-02-02,164,0,25000,5.6
1890-02-03,123,0,25000,3.6
1890-02-04,131,0.2,25000,4
1890-02-05,97.6,0.4,25000,3.4
1890-02-06,90.4,0,25000,1.9
1890-02-07,81.5,0,25000,2.8
1890-02-08,81.5,0,25000,2.5
1890-02-09,79.4,0,25000,1.6
1890-02-10,73.1,0.1,25000,2.8
1890-02-11,73.1,0,25000,1.1
1890-02-12,57.3,0,25000,1.3
1890-02-13,61.2,0.4,25000,0.6
1890-02-14,63.1,7.5,25000,2.2
1890-02-15,63.1,10.2,25000,2.2
1890-02-16,137,0,25000,4.4
1890-02-17,164,0.2,25000,5.2
1890-02-18,131,0,25000,5.6
1890-02-19,112,1,25000,3.6
1890-02-20,79.4,0.7,25000,2.2
1890-02-21,77.6,0,25000,2.9
1890-02-22,77.6,0,25000,3.4
1890-02-23,73.1,0,25000,3.1
1890-02-24,68.9,0.1,25000,2.9
1890-02-25,67,0,25000,4.6
